Scientific Name,Common Name(s),Part(s) Used,Form of Use,Comments
Achillea millefolium,"Milenrama, Yarrow","Stems, leaves, and flowers",Tea,May induce uterine contractions.
Actaea racemosa,"Cohosh negro, Black cohosh",Root,"Tea, capsules",May induce uterine contractions.
Adiantum capillus-veneris,"Maidenhair fern, Culantrilllo de pozo",Fronds (leaves),Tea,May induce uterine contractions
Aloe vera,"Sábila, zábila, Aloe, babosa",Gel and latex,"Cremas, Preparaciones, Hoja entera, Bebidas",Gel used topically is considered safe. Avoid ingesting whole leaf preparations as they may induce uterine contractions.
"Alchemilla, xanthochlora",Lady’s mantle,Leaves,"Tea, capsules",May induce uterine contractions
Angelica archangelica,Angélica,Root,"Tea, capsules",May induce uterine contractions.
Angelica sinensis,"Angélica china, Dong Quai, Dang gui, Chinese angelica",Root,"Tea, capsules",May induce uterine contractions.
Anthemis nobilis,"Manzanilla romana, Roman chamomile",Flowers,"Tea, capsules",May induce uterine contractions.
Artemisia spp.,"Estafiate, Istafiate, Ajenjo, Wormwood",Leaves and stems,Tea,Various species of wormwood contain potentially neurotoxic ingredient known as thujone.
Capsella bursa-pastoris,"Shepherd’s purse, Bolsa de pastor","Leaves, stems and flowers","Tea, tinctures",May induce uterine contractions.
Cascara sagrada,"Cáscara sagrada, Sacred bark",Tree bark,"Tea, capsules",May induce uterine contractions.
Caulophyllum thalictroides,"Cohosh azul, Blue cohosh, squaw root",Root,"Tea, capsules",May be toxic to fetus and induce uterine contractions.
Centella asiatica,"Gotu kola, Centela","Steams, leaves","Tea, capsules",May induce uterine contractions.
Cinnamomum cassia,"Canelón, Cassia",Tree bark,Tea,Occasional use as a condiment considered safe. Taken as tea may induce uterine contractions.
Claviceps purpurea,"Ergot, Cornezuelo del centeno",Fungus (sclerotium),Grows in various species of infected cereal grains (rare in industrialized countries),May induce uterine contractions.
Cinnamomum verum,"Canela, Cinnamon, true cinnamon",Tree bark,Tea,Occasional use as a condiment considered safe. Taken as tea may induce uterine contractions.
Datura spp,"Estramonio, toloache Jimsonweed, stramonium, moonflower",Planta entera,Tea,Various species of Datura are toxic and hallucinogenic. Avoid use.
Dioscorea villosa,"Wild yam, Cabeza de negro",Root and rhizomes,"Tea, tinctures, capsules",Uterine stimulant
Dryopteris filix-mas,"Male fern, Helecho macho, Dentabrón",Root,"Tea, extracts, pills",May induce uterine contractions.
Dysphania spp,"Wormseed, Mexican tea, Epazote, Paico",Leaves and stems,Tea,"Occasional use as a condiment considered safe. Contains a toxic compound known as ascaridol; may induce uterine contractions. Avoid ingesting oil, as it is neurotoxic."
Foeniculum vulgare,"Fennel, Hinojo","Seeds, root, leaves","Tea, pills, capsules, essential oil","High doses should be avoided, as they may induce uterine contractions"
Harpagophytum procumbens,"Devil’s claw, Garra del diablo",Root,"Tea, pills, capsules",May induce uterine contractions
Humulus lupulus,"Lúpulo, Hops",Fruits,"Tea, pills, capsules",May induce uterine contractions.
Hydrastis canadensis,"Sello dorado, Golden Seal",Root,"Tea, pills, capsules",May induce uterine contractions.
Hypericum perforatum,"Hierba de San Juan, corazoncillo, hipérico, St. John´s Wort","Flowers, Steams","Tea, pills, capsules",May induce uterine contractions.
Hypericum perforatum,"Hierba de San Juan, corazoncillo, hipérico, St. John´s Wort","Flowers, Steams","Tea, pills, capsules",May induce uterine contractions.
